date,precipitation_mm,temperature_degC,pet_mm
1981-05-15,4.1155,3.8702,1.4289311278452383
1981-05-16,0.3127,7.5909,2.0351724978849974
1981-05-17,2.4156,10.1433,2.455767170153456
1981-05-18,7.5042,7.1012,1.9686712118384089
1981-05-19,26.2621,2.5437,1.2310150164204248
1981-05-20,7.6112,0.8041,0.9499578568915112
1981-05-21,0.1158,2.5642,1.24159370762295
1981-05-22,13.4584,1.031,0.9926807979043181
1981-05-23,0.527,0.4671,0.9022731913552523
1981-05-24,12.868,-0.6736,0.7158558829079459
1981-05-25,6.8833,1.859,1.1377188830166112
1981-05-26,11.1054,2.7419,1.2872250584020437
1981-05-27,10.77,2.4597,1.2431363527792716
1981-05-28,8.697,3.0585,1.3458602850069223
1981-05-29,9.1208,4.8563,1.6495523413176623
1981-05-30,6.6498,2.8728,1.3202191992565198
1981-05-31,7.3972,3.8925,1.494045123209121
1981-06-01,5.1445,3.6878,1.4622822119249304
1981-06-02,7.3196,2.6923,1.296933801573202
1981-06-03,4.9154,2.4219,1.253359673283388
1981-06-04,3.9074,4.2932,1.5717514375168333
1981-06-05,3.0036,7.1854,2.063837039651895
1981-06-06,7.6332,8.2447,2.2462286036085706
1981-06-07,12.6279,4.7784,1.6604092298531286
1981-06-08,7.618,4.2196,1.5673079461825064
1981-06-09,10.0125,4.2747,1.578325402436606
1981-06-10,13.7039,4.1063,1.5511458852011657
1981-06-11,12.3885,3.6545,1.4754563744052034
1981-06-12,4.8987,4.9934,1.7050264681918639
1981-06-13,5.826,6.4881,1.9613692550386324
1981-06-14,4.5591,7.3818,2.115183982055113
1981-06-15,3.3695,8.0898,2.237229573976244
1981-06-16,7.023,9.3514,2.453833039999322
1981-06-17,10.4326,7.6555,2.1645285646890393
1981-06-18,6.2258,8.2454,2.265909080692101
1981-06-19,1.9702,8.7316,2.349373612387997
1981-06-20,4.2661,9.1226,2.4163471311655647
1981-06-21,10.3935,7.9744,2.219759280729193
1981-06-22,4.9343,9.49,2.478683861287446
1981-06-23,14.1693,9.1893,2.4266554541674097
1981-06-24,9.5605,8.9687,2.3881289493533173
1981-06-25,5.7878,10.7255,2.6873307641646056
1981-06-26,8.8684,10.9848,2.7302284057952777
1981-06-27,6.3066,10.3406,2.6186017572629985
1981-06-28,18.5624,10.543,2.6512915840247535
1981-06-29,11.1316,9.4753,2.467208958204141
1981-06-30,10.6865,8.0498,2.2222763985160983
1981-07-01,13.574,7.9489,2.2029419794407903
1981-07-02,10.7957,8.0027,2.209732733902572
1981-07-03,1.9277,8.3898,2.2728790763886058
1981-07-04,3.1692,9.9588,2.53603347351516
1981-07-05,9.9917,10.8907,2.690401689329642
1981-07-06,8.2428,10.8304,2.6763424064918153
1981-07-07,10.9459,11.0488,2.7091171084695547
1981-07-08,16.2576,10.7072,2.6471531590756965
1981-07-09,15.8761,9.8055,2.490909908542275
1981-07-10,7.1557,10.0593,2.529029173749113
1981-07-11,2.8207,11.4099,2.7506064949891953
1981-07-12,0.2892,12.814,2.980003029796878
1981-07-13,0.5077,15.0042,3.339398971739095
1981-07-14,12.0434,14.3552,3.224004653010243
1981-07-15,9.2105,8.8089,2.2949162357644997
1981-07-16,14.3458,8.7622,2.2817293102889438
1981-07-17,20.285,6.8281,1.95622294402741
1981-07-18,7.5372,6.815,1.9490484890971986
1981-07-19,2.2079,6.8573,1.9508262004281465
1981-07-20,1.8147,10.6127,2.561608614681797
1981-07-21,11.6481,11.9787,2.7777883387893123
1981-07-22,9.2021,13.1046,2.953258056932367
1981-07-23,26.0385,10.3004,2.488230495611796
1981-07-24,12.9903,9.0773,2.2821278799202402
1981-07-25,9.3703,9.7024,2.375739767257727
1981-07-26,12.0237,9.2288,2.2915322274627314
1981-07-27,6.7699,10.0043,2.408115603168317
1981-07-28,10.023,8.6519,2.183309073438922
1981-07-29,16.7623,7.8015,2.0398579669011716
1981-07-30,10.0614,6.4159,1.8122678015227116
1981-07-31,8.3885,6.6915,1.848892179661813
1981-08-01,4.4556,7.2293,1.926317376081483
1981-08-02,2.917,7.5997,1.976636774278221
1981-08-03,7.8811,6.8743,1.8551131626849924
1981-08-04,0.7606,9.6608,2.2807141113720792
1981-08-05,6.8592,9.6221,2.264793195564548
1981-08-06,1.3917,10.374,2.37064155345545
1981-08-07,1.3646,11.7601,2.572587695674825
1981-08-08,1.2793,11.7591,2.560430271926895
1981-08-09,0.8738,11.3637,2.488091327682503
1981-08-10,15.8511,11.0908,2.4346616807483876
1981-08-11,18.0499,9.0273,2.1118575900524443
1981-08-12,9.42,7.4267,1.8613543600166624
1981-08-13,6.3886,7.419,1.8505272325519113
1981-08-14,4.4954,8.0517,1.9344798361512636
1981-08-15,6.6275,8.3338,1.9655846878065784
1981-08-16,6.2615,8.4396,1.970230602639008
1981-08-17,3.6972,8.8857,2.0241530810859625
1981-08-18,15.3815,8.7232,1.9889669455534942
1981-08-19,11.497,5.9974,1.5845659133609968
1981-08-20,11.8717,5.8454,1.5533355385552097
1981-08-21,6.7724,5.0419,1.429506403332661
1981-08-22,6.4252,5.3013,1.4573492629786478
1981-08-23,2.4156,7.0738,1.6973354405731742
1981-08-24,10.1727,5.9495,1.5293982445435574
1981-08-25,9.1768,4.7546,1.3535948402014004
1981-08-26,3.8425,5.1369,1.3972929627705948
1981-08-27,2.9853,6.2559,1.5410460666430585
1981-08-28,2.7673,6.7895,1.6030007359782312
1981-08-29,5.6091,6.2744,1.5222445673447356
1981-08-30,3.7428,5.3783,1.3912957885859405
1981-08-31,0.9571,6.3457,1.5099977191038139
1981-09-01,1.05,4.1679,1.2112003952339632
1981-09-02,1.1712,2.7056,1.0104226101813567
1981-09-03,1.6593,1.8403,0.8901669359172001
1981-09-04,1.0115,2.9844,1.0310685077136663
1981-09-05,3.2205,4.6455,1.2358566372729212
1981-09-06,8.5291,4.9561,1.265551698880647
1981-09-07,5.2717,4.4342,1.1895760316346475
1981-09-08,0.7352,4.816,1.227629706997473
1981-09-09,11.6703,5.3976,1.2896175768673759
1981-09-10,12.1472,4.0359,1.1113314827105145
1981-09-11,7.4698,2.669,0.9352005930320172
1981-09-12,0.9634,4.1438,1.1054425796026541
1981-09-13,0.0092,8.0385,1.5625369421317046
1981-09-14,5.4819,8.5759,1.6125545933560097
1981-09-15,5.2528,8.024,1.5331458531297026
1981-09-16,12.624,7.3966,1.446056826581696
1981-09-17,5.3912,6.6914,1.3512747154318328
1981-09-18,3.8839,7.6732,1.4511381438422506
1981-09-19,8.4004,7.0613,1.3680855195904558
1981-09-20,8.1724,7.1558,1.3656865224175057
1981-09-21,4.1835,5.7024,1.19082820411016
1981-09-22,9.1211,5.3471,1.1400911882773204
1981-09-23,26.3946,0.3316,0.5816805618670112
1981-09-24,2.5939,-2.3213,0.28934147129826254
1981-09-25,3.7861,-2.9456,0.2196773925406641
1981-09-26,0.001,-1.3494,0.3863964293854722
1981-09-27,1.5696,-0.9559,0.4236572449594212
1981-09-28,0.0019,-2.444,0.2649925094889874
1981-09-29,0.0,-0.7179,0.43930525412199445
1981-09-30,3.4329,-1.6583,0.33921225723420373
1981-10-01,5.924,-7.2347,0.0
1981-10-02,0.0008,-6.0374,0.0
1981-10-03,0.0013,-3.18,0.17886010373449163
1981-10-04,0.1959,-2.8506,0.20892641501521084
1981-10-05,0.0009,-1.4958,0.3368692736683994
