date,precipitation_mm,temperature_degC,q_m3s,q_mm,q_gap_length_days,q_mm_clean,q_status
2015-05-26,1.5501,2.1384,5.01279863545572,1.0338381163998143,0,1.0338381163998143,observed
2015-05-27,0.7998,3.6485,4.83102674161672,0.9963495344703999,0,0.9963495344703999,observed
2015-05-28,2.1731,4.7358,4.83102674161672,0.9963495344703999,0,0.9963495344703999,observed
2015-05-29,0.8779,6.3808,4.83102674161672,0.9963495344703999,0,0.9963495344703999,observed
2015-05-30,1.2886,6.3067,5.29175049248174,1.091369065357989,0,1.091369065357989,observed
2015-05-31,2.0648,5.7899,5.38641284916175,1.1108922019611276,0,1.1108922019611276,observed
2015-06-01,5.9283,4.7444,,,13,,missing_long_gap
2015-06-02,0.7304,6.1136,,,13,,missing_long_gap
2015-06-03,1.7906,7.7955,,,13,,missing_long_gap
2015-06-04,5.6049,8.6198,,,13,,missing_long_gap
2015-06-05,1.1528,9.6633,,,13,,missing_long_gap
2015-06-06,3.0004,9.5615,,,13,,missing_long_gap
2015-06-07,3.0271,9.7663,,,13,,missing_long_gap
2015-06-08,18.23,10.2211,,,13,,missing_long_gap
2015-06-09,14.6819,0.2394,,,13,,missing_long_gap
2015-06-10,0.0009,4.3112,,,13,,missing_long_gap
2015-06-11,0.0009,8.7562,,,13,,missing_long_gap
2015-06-12,0.594,9.6463,,,13,,missing_long_gap
2015-06-13,3.8961,9.3326,,,13,,missing_long_gap
2015-06-14,14.1443,6.419,13.4705287880708,2.778157895804352,0,2.778157895804352,observed
2015-06-15,5.7667,4.1035,12.5287054636963,2.583916530359154,0,2.583916530359154,observed
2015-06-16,1.0079,5.346,11.979993287569,2.4707502925213323,0,2.4707502925213323,observed
2015-06-17,0.5586,7.5962,11.979993287569,2.4707502925213323,0,2.4707502925213323,observed
2015-06-18,0.0322,10.7292,12.3444362534457,2.545912902627428,0,2.545912902627428,observed
2015-06-19,1.6038,11.3067,13.279433820113,2.7387465258104293,0,2.7387465258104293,observed
2015-06-20,4.4745,9.9188,13.8568141786108,2.8578252811495313,0,2.8578252811495313,observed
2015-06-21,3.1114,9.2824,14.052004601193,2.8980812965007887,0,2.8980812965007887,observed
2015-06-22,1.7222,9.5423,14.052004601193,2.8980812965007887,0,2.8980812965007887,observed
2015-06-23,7.8651,8.9346,14.052004601193,2.8980812965007887,0,2.8980812965007887,observed
2015-06-24,8.1587,8.8405,14.052004601193,2.8980812965007887,0,2.8980812965007887,observed
2015-06-25,9.7236,8.282,14.052004601193,2.8980812965007887,0,2.8980812965007887,observed
2015-06-26,7.2218,7.6603,13.6629889075701,2.817850814250726,0,2.817850814250726,observed
2015-06-27,8.6925,8.7985,13.4705287880708,2.778157895804352,0,2.778157895804352,observed
2015-06-28,5.6124,9.8423,13.6629889075701,2.817850814250726,0,2.817850814250726,observed
2015-06-29,2.0102,11.2292,16.09224280719,3.3188594241071687,0,3.3188594241071687,observed
2015-06-30,0.7279,12.0816,16.769994618539,3.4586387583648093,0,3.4586387583648093,observed
2015-07-01,1.3687,11.9705,17.4617258911211,3.60130121259605,0,3.60130121259605,observed
2015-07-02,1.8355,13.1985,18.4057800831483,3.7960026715298816,0,3.7960026715298816,observed
2015-07-03,0.5543,14.2349,18.887126819984,3.895275480979204,0,3.895275480979204,observed
2015-07-04,10.2557,13.4351,20.1176759478037,4.149063571217721,0,4.149063571217721,observed
2015-07-05,11.4114,8.9619,21.9056822125051,4.517821457428307,0,4.517821457428307,observed
2015-07-06,3.5153,8.8693,22.961572094396,4.735587876150705,0,4.735587876150705,observed
2015-07-07,0.8479,12.2926,21.9056822125051,4.517821457428307,0,4.517821457428307,observed
2015-07-08,11.9612,11.598,23.4988366761635,4.846393165494298,0,4.846393165494298,observed
2015-07-09,15.2784,10.4247,23.2294277485446,4.7908303474906395,0,4.7908303474906395,observed
2015-07-10,9.5624,8.4701,23.2294277485446,4.7908303474906395,0,4.7908303474906395,observed
2015-07-11,0.0335,11.5614,22.961572094396,4.735587876150705,0,4.735587876150705,observed
2015-07-12,1.6703,14.2631,23.2294277485446,4.7908303474906395,0,4.7908303474906395,observed
2015-07-13,0.7453,14.3594,22.1673247727724,4.571782542113326,0,4.571782542113326,observed
2015-07-14,0.7422,15.7032,,,58,,missing_long_gap
2015-07-15,11.0215,16.2045,,,58,,missing_long_gap
2015-07-16,5.0022,16.1772,,,58,,missing_long_gap
2015-07-17,17.9987,15.4448,,,58,,missing_long_gap
2015-07-18,6.2848,15.4149,,,58,,missing_long_gap
2015-07-19,13.6873,13.1698,,,58,,missing_long_gap
2015-07-20,16.1974,14.7557,,,58,,missing_long_gap
2015-07-21,28.6733,14.2782,,,58,,missing_long_gap
2015-07-22,15.958,13.0067,,,58,,missing_long_gap
2015-07-23,12.0657,14.559,,,58,,missing_long_gap
2015-07-24,22.1006,13.9331,,,58,,missing_long_gap
2015-07-25,3.2425,12.5101,,,58,,missing_long_gap
2015-07-26,3.1248,13.587,,,58,,missing_long_gap
2015-07-27,4.9068,14.0411,,,58,,missing_long_gap
2015-07-28,19.1988,10.9238,,,58,,missing_long_gap
2015-07-29,7.2085,10.8025,,,58,,missing_long_gap
2015-07-30,3.354,11.1145,,,58,,missing_long_gap
2015-07-31,5.097,11.8125,,,58,,missing_long_gap
2015-08-01,5.4127,11.2845,,,58,,missing_long_gap
2015-08-02,8.0515,12.8209,,,58,,missing_long_gap
2015-08-03,10.889,13.1306,,,58,,missing_long_gap
